worker_x,A1TEEFJDPVEK0L,A2N1GA8PJDDA6P,A2Q51AC4E6I5ZB,A2Z4OTGC834F3Y,A348JKD82WQ6Z,A3OAQZM6Q3YJQ1,A3T2NTPGB3KNDS,A3W16X5D0VGU0E,AYKZJHEV29ZHL,AYUF9OHXQK2YT
A1TEEFJDPVEK0L,100.0,0.0,100.0,66.7,100.0,100.0,-1.0,100.0,0.0,100.0
A2N1GA8PJDDA6P,0.0,100.0,0.0,50.0,0.0,0.0,-1.0,0.0,66.7,0.0
A2Q51AC4E6I5ZB,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
A2Z4OTGC834F3Y,66.7,50.0,0.0,100.0,100.0,100.0,-1.0,100.0,50.0,50.0
A348JKD82WQ6Z,100.0,0.0,0.0,100.0,100.0,66.7,-1.0,66.7,0.0,100.0
A3OAQZM6Q3YJQ1,100.0,0.0,0.0,100.0,66.7,100.0,-1.0,33.3,0.0,100.0
A3T2NTPGB3KNDS,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0
A3W16X5D0VGU0E,100.0,0.0,0.0,100.0,66.7,33.3,-1.0,100.0,0.0,50.0
AYKZJHEV29ZHL,0.0,66.7,0.0,50.0,0.0,0.0,-1.0,0.0,100.0,0.0
AYUF9OHXQK2YT,100.0,0.0,100.0,50.0,100.0,100.0,-1.0,50.0,0.0,100.0
